,Player,Pos,Age,Tm,G,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
44,Marco Belinelli,SG,33.0,SAS,52.0,779,10.2,.521,.572,.151,0.6,11.9,6.2,11.3,0.6,0.1,5.2,17.0,0.4,0.1,0.6,.035,-1.0,-1.9,-2.9,-0.2
45,Jordan Bell,C-PF,25.0,TOT,29.0,256,13.9,.577,.179,.463,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,0.2,0.2,0.4,.070,-1.4,-1.1,-2.5,0.0
46,Jordan Bell,C,25.0,MIN,27.0,235,14.1,.570,.150,.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,0.2,0.2,0.4,.072,-1.5,-1.1,-2.5,0.0
47,Jordan Bell,PF,25.0,MEM,2.0,21,12.6,.635,.429,.286,10.2,4.9,7.5,12.8,2.2,0.0,27.6,21.5,0.0,0.0,0.0,.046,-0.4,-1.1,-1.5,0.0
48,DeAndre' Bembry,SG,25.0,ATL,43.0,915,9.6,.500,.285,.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,-0.5,0.7,0.2,.011,-3.5,1.0,-2.4,-0.1
49,Dragan Bender,SF,22.0,TOT,16.0,286,11.0,.545,.467,.152,5.9,21.1,13.5,14.4,0.7,2.8,17.6,17.7,0.0,0.3,0.3,.053,-3.0,0.1,-2.9,-0.1
50,Dragan Bender,SF,22.0,MIL,7.0,91,8.5,.582,.429,.143,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,0.0,0.2,0.2,.110,-4.3,3.0,-1.3,0.0
51,Dragan Bender,SF,22.0,GSW,9.0,195,12.1,.534,.479,.155,8.6,21.3,14.7,15.2,1.0,1.8,17.4,20.1,0.0,0.1,0.1,.027,-2.4,-1.3,-3.6,-0.1
52,Dāvis Bertāns,PF,27.0,WAS,54.0,1583,15.5,.628,.774,.200,2.3,15.1,8.5,8.3,1.1,1.8,8.2,19.0,3.0,0.5,3.5,.106,2.7,-1.8,0.9,1.1
54,Patrick Beverley,PG,31.0,LAC,48.0,1299,12.3,.554,.609,.126,4.6,15.7,10.3,18.2,1.9,1.7,15.7,13.0,1.4,2.0,3.4,.126,-0.5,2.6,2.1,1.3
55,Khem Birch,C,27.0,ORL,40.0,777,10.1,.529,.009,.583,9.3,15.7,12.4,6.1,1.0,2.4,13.7,9.3,0.7,0.8,1.5,.092,-3.3,0.3,-3.0,-0.2
56,Goga Bitadze,C,20.0,IND,49.0,410,12.2,.530,.279,.256,6.0,19.8,12.9,7.1,0.7,6.9,14.8,18.1,-0.1,0.7,0.6,.069,-4.0,1.5,-2.5,0.0
57,Bismack Biyombo,C,27.0,CHO,53.0,1029,16.1,.570,.000,.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,1.5,0.9,2.4,.113,-1.8,-0.7,-2.5,-0.1
58,Nemanja Bjelica,PF,31.0,SAC,64.0,1821,15.6,.597,.488,.121,6.5,19.4,12.8,14.6,1.4,1.7,12.6,17.4,3.0,1.7,4.7,.125,1.2,0.4,1.6,1.7
59,Eric Bledsoe,PG,30.0,MIL,56.0,1524,18.1,.579,.304,.292,2.8,13.3,8.4,28.5,1.6,1.4,15.8,24.0,2.4,2.9,5.3,.168,1.1,1.1,2.2,1.6
60,Bogdan Bogdanović,SG,27.0,SAC,53.0,1510,14.3,.560,.595,.164,1.2,11.8,6.4,17.2,1.7,0.9,11.5,22.3,1.2,1.1,2.4,.075,0.7,-0.3,0.4,0.9
61,Bojan Bogdanović,SF,30.0,UTA,63.0,2083,15.7,.603,.489,.296,2.2,11.1,6.8,9.9,0.8,0.3,13.1,25.6,2.7,1.6,4.3,.099,1.6,-1.5,0.2,1.1
62,Jonah Bolden,PF,24.0,TOT,7.0,47,4.9,.392,.364,.364,7.0,14.4,10.6,0.0,3.0,3.7,13.6,13.4,-0.1,0.1,0.0,-0.008,-8.8,-0.1,-8.9,-0.1
63,Jonah Bolden,PF,24.0,PHI,4.0,14,-2.0,.515,.333,.667,0.0,7.9,3.9,0.0,3.5,0.0,34.0,18.1,-0.1,0.0,0.0,-0.147,-13.9,-0.7,-14.7,0.0
64,Jonah Bolden,PF,24.0,PHO,3.0,33,7.9,.338,.375,.250,9.9,17.2,13.5,0.0,2.9,5.3,0.0,11.4,0.0,0.1,0.0,.051,-6.6,0.1,-6.5,0.0
65,Marques Bolden,C,21.0,CLE,1.0,3,19.8,,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,0.0,0.0,0.0,.282,-5.8,11.3,5.5,0.0
66,Jordan Bone,PG,22.0,DET,10.0,53,0.8,.300,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,-0.1,0.0,-0.1,-0.118,-9.0,-2.9,-11.9,-0.1
67,Isaac Bonga,SF,20.0,WAS,58.0,1025,10.7,.627,.299,.348,6.3,13.6,9.8,7.7,1.7,1.8,16.2,10.3,1.3,0.4,1.7,.081,-2.4,0.0,-2.4,-0.1
68,Devin Booker,SG,23.0,PHO,62.0,2241,19.8,.617,.313,.395,1.3,11.7,6.4,30.2,1.0,0.6,15.7,29.5,4.8,1.2,6.0,.129,3.1,-1.4,1.7,2.1
69,Chris Boucher,PF,27.0,TOR,55.0,724,19.8,.570,.381,.396,14.0,21.1,17.7,4.7,1.3,7.1,7.0,19.4,1.7,1.5,3.2,.214,0.4,1.0,1.4,0.6
70,Brian Bowen,SG,21.0,IND,5.0,29,-2.0,.222,.222,.000,3.8,22.7,13.3,0.0,0.0,3.0,10.0,15.2,-0.1,0.0,-0.1,-0.154,-9.7,-2.1,-11.8,-0.1
71,Ky Bowman,PG,22.0,GSW,45.0,1015,9.2,.494,.333,.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,-0.6,0.6,-0.1,-0.003,-4.0,-0.3,-4.3,-0.6
72,Avery Bradley,SG,29.0,LAL,49.0,1186,8.9,.537,.452,.063,1.7,8.7,5.3,7.1,1.7,0.4,10.7,15.7,0.2,1.4,1.6,.066,-2.9,0.5,-2.4,-0.1
73,Tony Bradley,C,22.0,UTA,50.0,535,21.8,.675,.006,.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,1.8,0.9,2.7,.242,0.9,0.4,1.3,0.4
74,Jarrell Brantley,PF,23.0,UTA,5.0,13,2.7,,,,0.0,40.3,21.1,9.2,0.0,12.8,100.0,6.8,0.0,0.0,0.0,-0.053,-8.6,5.9,-2.7,0.0
75,Ignas Brazdeikis,SF,21.0,NYK,9.0,53,3.3,.351,.409,.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,-0.1,0.0,-0.1,-0.109,-5.0,-3.9,-8.9,-0.1
77,Mikal Bridges,SF,23.0,PHO,65.0,1772,13.0,.623,.391,.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,2.2,1.9,4.1,.111,-0.7,1.5,0.8,1.3
78,Miles Bridges,SF,21.0,CHO,65.0,1995,12.1,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,0.3,1.3,1.6,.038,-1.5,-1.0,-2.5,-0.3
79,Oshae Brissett,SF,21.0,TOR,19.0,135,6.7,.458,.417,.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,-0.1,0.2,0.1,.042,-5.7,0.3,-5.4,-0.1
